ID,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth
1685,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3
5342,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8
9579,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8
7660,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5
1461,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7
821,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2
11084,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7
8690,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2
2937,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6
9701,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7
9949,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8
10837,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6
3120,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8
5885,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8
4050,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3
3830,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3
7987,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6
7798,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7
92,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6
7055,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5
10240,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4
3025,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7
9283,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4
9970,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2
2730,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1
2795,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7
9260,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6
8182,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8
10095,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2
8475,2014-03-01,98,20,2,1582,1,2,1,15,0,22,0,0
4370,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6
10573,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3
3712,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4
6637,2013-11-02,46,277,162,305,173,76,124,1,3,4,7,1
3152,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5
5610,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7
6460,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8
1349,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6
1880,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5
641,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4
8717,2012-09-12,56,1149,71,449,69,71,26,1,11,8,8,5
10314,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4
10854,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7
10492,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2
6935,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2
7698,2014-05-11,81,152,3,22,2,5,7,1,4,1,4,5
3559,2014-05-10,77,12,11,10,3,12,9,3,2,1,3,6
10562,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2
10796,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6
2563,2014-06-15,80,1,9,7,2,14,10,1,2,0,3,6
3518,2012-12-05,45,10,1,18,10,4,7,1,1,1,2,9
5823,2014-03-08,63,35,0,2,0,0,2,2,1,0,4,5
3934,2013-08-02,34,356,0,107,19,9,117,2,7,1,8,5
6982,2013-03-19,14,783,30,537,140,76,15,1,4,10,9,2
6431,2013-02-23,13,42,1,18,3,0,4,2,2,0,3,7
9733,2012-09-09,52,1,4,10,29,0,36,1,1,1,2,6
5602,2013-05-17,98,466,22,432,147,113,102,1,8,7,12,3
7829,2013-09-26,99,15,6,8,7,4,25,1,2,1,2,5
1324,2013-05-30,93,23,3,21,3,19,22,2,3,0,3,8
326,2013-02-18,38,235,6,45,8,9,12,4,5,1,6,6
7224,2013-12-29,24,10,0,10,3,1,7,2,1,1,2,8
6999,2014-05-13,80,656,16,106,32,16,8,1,7,3,12,3
9938,2013-09-19,82,519,17,813,27,173,51,1,4,6,6,2
6422,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2
3182,2014-03-31,81,96,1,79,7,1,79,6,5,1,3,8
7300,2014-06-29,50,448,4,34,6,4,39,3,8,1,7,5
10424,2013-12-09,60,265,138,553,224,23,92,1,4,4,9,1
8727,2013-10-14,63,587,43,337,42,87,54,3,11,6,9,6
2798,2012-11-02,54,763,29,138,76,176,58,0,7,9,10,4
1030,2013-07-17,72,22,0,13,0,0,3,2,1,0,3,7
624,2012-11-10,5,6,4,1,7,2,15,1,0,1,2,6
5176,2013-12-08,88,7,6,13,7,6,14,1,1,0,3,9
5552,2013-05-13,50,81,18,113,47,13,21,6,4,2,5,6
868,2014-06-08,99,54,0,7,0,0,4,1,2,0,3,6
380,2012-09-10,17,1170,48,320,42,32,192,5,11,4,9,8
2677,2013-03-31,11,72,24,68,65,4,8,5,3,1,6,4
6521,2014-03-18,18,613,22,319,33,102,12,1,4,6,9,1
6927,2012-10-05,70,224,0,30,0,0,10,8,5,1,5,8
2877,2013-01-21,21,410,0,59,19,9,44,10,7,1,8,7
0,2013-05-04,66,239,10,554,254,87,54,1,3,4,9,1
1584,2014-04-01,79,171,7,171,25,19,89,6,8,1,5,8
7264,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8
6274,2013-11-15,81,1076,16,417,42,48,16,1,8,10,6,3
1377,2013-08-31,24,182,4,33,0,0,66,2,4,1,5,7
454,2012-11-14,48,824,32,162,42,32,43,2,11,4,11,6
1755,2014-04-11,93,30,11,25,29,1,18,1,1,1,4,3
2075,2013-11-14,56,377,10,540,80,30,10,1,3,5,7,1
4785,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3
9076,2013-01-05,44,155,1,25,0,1,3,4,4,1,4,8
7079,2012-09-08,38,897,23,207,15,11,92,5,9,6,12,6
4653,2013-03-26,46,131,0,16,2,1,39,4,3,1,4,8
7375,2012-10-25,84,297,7,79,0,11,182,2,8,2,4,8
709,2012-12-09,27,787,20,204,0,0,92,3,2,2,11,8
460,2012-08-08,72,792,86,740,67,51,17,1,3,5,8,2
3726,2014-02-16,66,4,1,9,3,0,0,1,1,0,2,8
6798,2013-03-20,30,231,7,137,4,15,39,9,5,1,8,7
5341,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7
1606,2013-05-15,65,3,1,8,4,3,3,1,1,0,2,8
9617,2014-04-16,37,0,4,5,6,0,4,1,1,0,3,3
3233,2013-03-23,89,562,21,464,28,10,32,3,7,8,11,5
89,2013-12-09,49,5,9,20,6,8,21,2,2,0,4,6
2936,2013-12-04,46,18,0,4,0,0,1,1,1,0,3,7
9449,2013-10-04,32,415,5,124,15,35,11,1,5,2,11,3
7297,2013-12-26,54,5,3,10,12,7,20,4,3,1,3,7
11004,2014-05-17,23,8,0,5,7,0,2,1,1,0,2,4
313,2013-10-28,98,901,61,757,186,163,20,1,6,5,10,3
9940,2012-12-23,97,382,114,276,75,124,38,2,6,4,4,3
10735,2013-07-31,75,14,1,7,2,1,1,1,2,0,2,9
9529,2013-11-28,8,559,153,503,218,13,181,1,3,9,9,2
6439,2012-08-17,37,789,0,133,0,28,152,7,11,5,8,7
7411,2014-06-05,31,11,0,5,0,0,1,2,1,0,3,6
2176,2013-05-20,40,1218,16,272,104,0,80,2,5,3,6,6
9265,2013-01-09,74,925,64,179,133,12,77,2,9,4,6,5
8867,2012-08-31,90,864,134,768,150,38,172,1,4,10,5,3
8932,2012-10-29,57,960,28,183,220,70,70,4,9,6,6,6
10236,2013-09-16,59,16,3,25,6,1,13,2,2,0,3,8
6340,2013-10-27,52,3,3,7,0,2,11,2,1,0,3,6
10089,2013-04-05,5,168,148,444,32,172,148,1,6,9,13,2
2227,2012-09-22,92,45,47,52,21,20,25,2,3,1,5,6
10992,2012-08-29,77,650,28,353,45,42,30,5,4,6,11,8
5304,2012-10-13,35,24,0,8,0,0,1,2,1,0,3,6
309,2012-10-16,48,918,21,118,13,10,21,3,8,3,5,6
3406,2012-10-22,97,138,33,87,28,24,12,4,3,2,7,3
2661,2013-06-04,95,12,4,2,10,6,10,4,2,0,4,5
3153,2013-12-08,24,11,0,4,0,0,2,1,1,0,2,8
10264,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7
1184,2013-05-22,46,554,41,215,11,0,24,3,10,2,10,5
4200,2014-06-17,85,167,2,62,24,13,7,4,4,1,6,5
9396,2012-11-23,31,9,0,6,4,1,5,1,1,0,2,9
2387,2013-02-03,9,177,2,71,3,2,20,6,5,2,4,8
6690,2013-03-14,30,38,4,22,4,2,20,4,3,1,3,7
1225,2014-06-26,47,483,84,398,205,84,241,1,3,7,8,1
9703,2012-10-15,70,77,2,35,0,1,69,4,3,2,2,7
291,2013-06-19,13,182,74,298,162,149,116,1,3,3,6,1
4557,2013-10-04,11,10,7,19,8,2,21,2,2,2,2,6
2379,2012-09-22,31,778,44,499,95,73,146,2,3,4,5,7
5726,2014-03-20,15,16,7,23,0,8,6,3,3,0,4,5
3066,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5
6336,2014-04-06,55,13,2,14,8,7,4,4,2,0,4,6
10967,2013-02-06,38,33,6,40,3,7,10,3,2,0,4,7
2304,2013-09-16,86,625,7,99,10,22,7,2,6,3,12,4
3445,2013-01-17,56,216,162,224,101,92,162,2,7,4,10,5
7828,2014-04-30,29,68,129,396,188,22,15,1,3,3,5,1
3762,2013-04-02,30,196,0,512,33,130,54,1,3,5,8,1
4391,2013-04-21,64,635,15,100,20,7,131,1,9,3,9,6
4669,2013-02-11,46,4,19,9,28,25,17,3,3,0,4,7
10144,2012-10-25,84,297,7,79,0,11,182,2,8,2,4,8
8652,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7
1672,2014-03-01,74,204,7,149,20,15,66,1,5,1,8,2
8962,2014-04-17,18,26,0,8,0,0,3,2,2,0,3,5
9974,2013-07-12,75,15,6,20,4,5,20,1,3,1,2,7
10983,2013-01-29,17,304,98,230,150,74,74,1,6,3,13,3
8148,2013-01-08,88,285,28,242,55,114,135,13,6,2,12,5
10102,2014-05-12,19,395,183,565,166,141,28,1,5,11,5,3
4697,2013-06-13,62,248,3,81,4,3,51,3,7,1,5,8
9262,2013-07-04,11,20,6,5,0,9,12,1,1,0,3,7
7254,2013-12-27,74,39,0,56,20,8,14,3,3,1,3,7
4543,2012-10-31,32,777,129,573,216,21,203,1,2,7,9,4
4927,2014-01-15,76,8,3,22,21,1,13,3,3,0,3,9
10451,2013-03-12,6,9,1,3,0,4,8,1,0,0,3,6
2926,2012-08-23,62,1241,0,80,0,13,40,3,3,6,11,8
2874,2013-03-07,20,6,4,7,4,3,8,1,1,0,3,7
9738,2013-01-13,43,65,4,16,0,4,11,1,3,0,3,8
7119,2013-01-12,45,395,15,263,60,54,38,1,2,3,6,1
3924,2014-03-17,34,801,0,80,0,0,35,5,8,3,12,5
5827,2014-04-16,53,36,0,12,2,2,10,4,3,1,3,5
5596,2013-10-12,44,513,14,154,19,0,28,1,9,2,9,6
10812,2014-03-01,89,37,0,46,4,3,0,1,2,1,3,4
1717,2014-04-13,43,80,15,93,20,13,52,3,5,1,4,8
9491,2013-12-27,68,14,1,21,2,3,25,3,3,1,3,7
9274,2013-03-28,44,525,147,112,219,147,63,1,6,7,9,2
6609,2012-09-18,64,1,26,25,17,23,15,1,3,0,3,9
6963,2014-03-05,85,675,11,400,15,45,11,1,2,5,10,1
4440,2013-09-10,93,509,0,27,0,0,10,1,8,3,6,7
1379,2013-04-27,12,154,2,46,20,4,15,1,4,2,4,4
10032,2014-01-18,86,3,5,14,2,12,17,4,3,1,3,6
2826,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7
2437,2013-06-03,69,861,138,461,60,30,61,1,6,5,12,3
6320,2013-02-06,42,768,44,561,77,44,14,1,6,6,10,3
3050,2013-12-17,13,185,0,28,3,2,17,6,3,1,6,4
231,2014-03-11,86,24,0,7,0,0,1,2,2,0,3,5
2392,2013-07-29,59,44,4,21,6,0,27,2,3,0,3,7
9478,2012-08-14,30,91,64,128,65,3,50,2,4,3,6,3
113,2013-07-16,33,11,0,7,3,1,6,2,1,0,3,5
2863,2013-08-23,67,738,20,172,52,50,20,6,2,3,10,7
1802,2013-01-17,23,412,5,119,38,29,77,3,3,3,12,2
520,2013-07-01,81,3,3,7,6,2,9,1,1,0,2,7
8275,2014-02-09,6,16,0,3,0,0,1,1,1,0,2,7
9750,2013-02-07,41,731,60,353,78,12,73,5,10,3,5,7
2607,2013-01-11,78,424,17,118,7,23,41,6,8,2,8,8
7214,2013-07-05,49,792,0,275,45,45,126,1,4,8,5,3
5835,2013-07-02,39,21,2,28,3,2,9,3,2,0,4,8
3896,2013-11-07,3,22,1,11,0,1,2,1,1,0,3,7
10350,2013-05-09,37,33,0,5,0,0,0,1,1,0,3,4
7786,2013-02-13,22,68,7,59,10,5,11,4,3,1,4,8
2861,2013-04-16,79,9,1,6,3,0,4,1,1,0,2,8
663,2013-09-11,46,40,2,15,8,0,6,1,1,1,3,4
10675,2013-04-03,82,909,11,218,0,0,23,2,9,3,5,5
2521,2013-01-10,10,23,1,13,2,2,18,1,1,1,2,7
9592,2013-06-30,51,11,2,9,3,0,8,2,2,0,3,8
10151,2012-09-12,38,317,46,247,151,46,139,1,4,5,12,3
7381,2012-12-06,10,797,153,293,72,97,30,1,11,4,6,4
4099,2012-11-12,14,10,2,16,11,2,21,1,1,0,3,8
9560,2013-03-03,18,856,61,570,40,25,122,1,7,6,8,3
1150,2013-09-26,36,755,144,562,104,64,224,1,4,6,4,1
10172,2012-08-10,95,456,19,832,75,118,38,1,4,5,11,3
11191,2013-12-07,11,37,32,38,11,3,18,1,2,1,4,6
9707,2012-11-23,65,1103,0,45,0,0,34,3,4,2,11,8
6245,2013-06-13,71,378,14,68,19,14,14,2,3,5,8,3
8234,2013-08-15,13,1,6,7,0,1,3,1,1,0,2,8
1411,2013-11-10,58,204,34,204,172,153,173,1,2,9,4,1
8553,2013-06-23,65,30,0,9,0,0,3,2,1,0,3,6
1826,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1
8842,2012-12-25,33,15,0,12,7,3,7,3,2,0,3,7
11030,2014-01-03,90,9,0,3,0,0,4,1,1,0,2,6
2579,2013-12-17,95,495,33,255,11,33,8,4,6,7,9,4
175,2013-01-10,93,656,80,455,52,107,93,2,8,4,8,4
9185,2013-10-28,38,452,20,514,13,30,0,3,4,6,5,3
11056,2012-10-27,18,546,91,410,119,0,22,1,3,4,10,1
9365,2012-12-22,57,1048,0,217,0,0,12,5,11,3,5,6
6201,2013-11-29,45,22,2,14,0,1,10,2,2,0,3,7
2061,2013-05-11,61,78,0,11,0,0,10,1,2,0,4,6
6184,2012-12-12,6,561,64,785,84,128,48,1,3,3,8,1
6142,2013-08-20,65,629,17,177,69,0,8,1,5,3,5,2
4107,2013-10-08,52,269,15,69,15,19,38,2,4,6,4,5
7274,2012-09-28,87,736,163,818,212,163,61,1,4,7,10,2
9336,2014-03-22,38,512,0,83,0,0,41,3,6,2,10,4
2958,2014-02-24,53,19,3,10,11,8,6,3,2,1,4,4
933,2012-11-23,31,9,0,6,4,1,5,1,1,0,2,9
5837,2012-12-28,67,247,8,160,6,8,65,7,6,3,6,7
10704,2012-08-21,65,404,0,92,28,27,142,2,6,2,9,4
5125,2013-05-17,64,333,0,815,129,42,29,1,4,10,11,2
4432,2013-03-16,82,2,3,20,6,11,9,2,2,0,3,7
5955,2012-11-17,27,833,33,549,151,133,233,1,4,3,8,3
2928,2012-12-01,63,789,0,142,12,9,38,2,2,4,8,8
5680,2014-04-22,66,10,4,7,0,6,3,1,1,0,3,6
10313,2012-10-28,69,159,4,45,6,2,38,6,5,1,4,8
2557,2013-08-29,52,7,1,6,3,1,11,1,1,1,2,4
1245,2012-11-11,45,977,12,253,16,12,101,4,4,3,12,8
1519,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8
10703,2012-08-18,86,57,0,27,0,0,36,4,3,2,2,8
1726,2013-03-18,23,3,9,15,13,2,39,1,1,1,2,9
4459,2012-12-30,13,10,4,14,4,4,1,1,1,0,3,8
1729,2013-10-02,14,1043,24,97,32,24,157,2,3,5,10,6
1517,2013-06-14,92,3,9,13,2,12,12,1,1,0,3,7
2098,2013-01-08,38,11,0,5,0,0,1,1,1,0,2,8
9543,2013-11-14,74,3,6,5,0,2,6,1,0,0,3,7
6878,2012-12-12,14,43,12,96,78,40,55,3,4,1,6,7
3310,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8
2724,2014-03-30,33,12,0,1,0,0,6,1,0,1,2,3
948,2013-05-15,32,4,7,7,6,4,13,3,1,2,2,5
6720,2013-10-16,11,314,11,53,4,3,107,3,7,3,4,7
6202,2012-10-05,78,571,50,142,33,50,159,4,4,5,13,2
2066,2012-08-30,56,70,0,11,2,8,23,1,2,1,3,6
9799,2013-05-08,57,866,21,151,28,21,86,3,2,2,12,5
8318,2014-01-03,7,594,134,786,33,134,57,0,5,6,8,1
5642,2013-12-09,0,140,4,61,0,13,4,2,3,1,6,4
2669,2014-05-04,66,375,152,335,93,91,81,1,5,4,6,2
455,2013-04-18,86,102,9,63,2,9,24,1,4,1,4,6
7683,2014-02-25,80,554,35,113,0,7,78,3,5,3,12,3
3428,2013-10-06,56,919,0,505,99,30,45,1,4,9,10,2
7414,2012-09-15,18,96,1,42,12,3,32,4,3,1,4,8
6354,2012-08-31,51,5,2,16,3,2,19,2,1,1,2,8
798,2012-12-24,71,2,0,6,8,6,5,1,1,0,3,7
8213,2012-11-09,71,6,4,9,6,36,35,4,2,2,3,7
2488,2013-03-23,80,23,1,25,0,8,7,4,2,1,3,6
9999,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5
7617,2013-08-15,83,67,5,61,3,8,19,5,2,1,5,5
615,2013-03-11,29,65,36,74,38,20,110,1,5,1,4,7
2552,2013-10-22,11,416,0,26,0,0,4,9,6,3,6,7
